timestamp,gx,gy,gz
1463126546581961284,-8832.0,-4909.0,1461.0
1463126546584310711,-9077.0,-7235.0,1914.0
1463126546586828367,-5370.0,-5949.0,2497.0
1463126546594241283,-3655.0,-3361.0,1451.0
1463126546596874981,-1402.0,191.0,115.0
1463126546662108888,1072.0,2540.0,-1039.0
1463126546664252273,3258.0,3421.0,-1717.0
1463126546666756023,5490.0,3081.0,-2465.0
1463126546668891752,7102.0,1632.0,-2865.0
1463126546675419981,8284.0,-340.0,-3028.0
1463126546677905867,9096.0,-1873.0,-3213.0
1463126546681748992,9688.0,-2329.0,-3376.0
1463126546684125086,9663.0,-1855.0,-3353.0
1463126546686642742,8991.0,-3108.0,-2961.0
1463126546696807013,8079.0,-2216.0,-2783.0
1463126546750524929,7241.0,-488.0,-2393.0
1463126546752809044,6126.0,1839.0,-1641.0
1463126546755260086,4682.0,4101.0,-387.0
1463126546757722533,3024.0,5454.0,648.0
1463126546760205294,1238.0,5097.0,1229.0
1463126546769923367,-961.0,3448.0,1011.0
1463126546773661700,-3250.0,1751.0,716.0
1463126546779086231,-5150.0,628.0,578.0
1463126546786968836,-6630.0,616.0,547.0
1463126546838693210,-7596.0,1092.0,742.0
1463126546840458992,-8188.0,1158.0,765.0
1463126546842931179,-8667.0,800.0,821.0
1463126546845371231,-9157.0,-294.0,938.0
1463126546848001804,-9578.0,-2018.0,1253.0
1463126546855072481,-9819.0,-4647.0,1948.0
1463126546858074356,-9809.0,-6337.0,2748.0
1463126546867148054,-8135.0,-5622.0,3119.0
1463126546925231752,-6040.0,-3279.0,2969.0
1463126546928090763,-3770.0,349.0,1915.0
1463126546930486492,-1103.0,3535.0,255.0
1463126546933342585,1667.0,4844.0,-1154.0
1463126546935378419,4069.0,4053.0,-2156.0
1463126546937857846,5972.0,2134.0,-2691.0
1463126546945146648,7397.0,-89.0,-3111.0
1463126546947925971,8522.0,-1863.0,-3507.0
1463126546957883523,9355.0,-2903.0,-3780.0
1463126547014452481,10004.0,-2805.0,-4009.0
1463126547016817429,9527.0,-3343.0,-3969.0
1463126547019185554,8601.0,-3148.0,-3909.0
1463126547022444460,7293.0,-897.0,-3545.0
1463126547031740190,5916.0,2689.0,-2428.0
1463126547034136023,4429.0,5642.0,-750.0
1463126547037873783,3015.0,7365.0,1137.0
1463126547040665658,1207.0,5506.0,2116.0
1463126547049329252,-1300.0,2938.0,1310.0
1463126547102941492,-3829.0,130.0,1040.0
1463126547105281856,-5891.0,-1699.0,1289.0
1463126547107725815,-7139.0,-1787.0,1618.0
1463126547110290137,-7738.0,-969.0,2080.0
1463126547113861908,-8111.0,-412.0,2310.0
1463126547119985398,-8471.0,-447.0,2350.0
1463126547128849929,-8791.0,-1329.0,2440.0
1463126547133179565,-8921.0,-2980.0,2653.0
1463126547137360554,-9120.0,-4494.0,2824.0
1463126547190606387,-7431.0,-4034.0,3019.0
1463126547192904200,-5076.0,-2228.0,2633.0
1463126547195248419,-3369.0,431.0,1096.0
1463126547197733315,-1388.0,2948.0,-426.0
1463126547200406960,785.0,4902.0,-1903.0
1463126547206513054,3288.0,5685.0,-3147.0
1463126547209274773,5467.0,4828.0,-3937.0
1463126547256238731,7009.0,2235.0,-4108.0
1463126547257370450,7978.0,-715.0,-4073.0
1463126547259184877,8800.0,-2819.0,-4300.0
1463126547262866283,9537.0,-3870.0,-4636.0
1463126547265519356,9989.0,-2660.0,-5050.0
1463126547272590033,9191.0,-3476.0,-4829.0
1463126547279410294,8228.0,-2052.0,-4649.0
1463126547286968367,7138.0,999.0,-4193.0
