timestamp,mx,my,mz
1463127115033598723,1533.0,1474.0,-1002.0
1463127115036074765,1533.0,1474.0,-1002.0
1463127115044795442,1848.0,1631.0,-1002.0
1463127115108846900,1848.0,1631.0,-1002.0
1463127115111286119,1651.0,1592.0,-1199.0
1463127115117483931,1651.0,1592.0,-1199.0
1463127115120089140,1690.0,1317.0,-1081.0
1463127115122766379,1690.0,1317.0,-1081.0
1463127115126612890,1690.0,1395.0,-1081.0
1463127115130721640,1690.0,1395.0,-1081.0
1463127115137001327,1376.0,1395.0,-1238.0
1463127115143368931,1376.0,1395.0,-1238.0
1463127115146317004,1690.0,1395.0,-1002.0
1463127115193234869,1690.0,1395.0,-1002.0
1463127115195285129,1730.0,1277.0,-1120.0
1463127115198080129,1730.0,1277.0,-1120.0
1463127115201833723,1769.0,1474.0,-1002.0
1463127115204306796,1769.0,1474.0,-1002.0
1463127115211588358,1730.0,1356.0,-1277.0
1463127115215172785,1730.0,1356.0,-1277.0
1463127115224918046,1651.0,1356.0,-1042.0
1463127115280051587,1651.0,1356.0,-1042.0
1463127115283431014,1572.0,1435.0,-963.0
1463127115288233462,1572.0,1435.0,-963.0
1463127115293322212,1533.0,1395.0,-1081.0
1463127115296054608,1533.0,1395.0,-1081.0
1463127115299942681,1376.0,1553.0,-1002.0
1463127115302768254,1376.0,1553.0,-1002.0
1463127115308565598,1808.0,1435.0,-1199.0
1463127115314897056,1808.0,1435.0,-1199.0
1463127115367627473,1690.0,1317.0,-1159.0
1463127115369902160,1690.0,1317.0,-1159.0
1463127115372324817,1454.0,1474.0,-1081.0
1463127115374785546,1454.0,1474.0,-1081.0
1463127115379860546,1808.0,1592.0,-1120.0
1463127115382403462,1808.0,1592.0,-1120.0
1463127115385731900,1572.0,1199.0,-884.0
1463127115394843202,1572.0,1199.0,-884.0
1463127115404933671,1690.0,1159.0,-1081.0
1463127115456099608,1690.0,1159.0,-1081.0
1463127115458416483,1730.0,1356.0,-1199.0
1463127115460964139,1730.0,1356.0,-1199.0
1463127115468360754,1651.0,1356.0,-1120.0
1463127115471070077,1651.0,1356.0,-1120.0
1463127115474267264,1730.0,1435.0,-963.0
1463127115477074348,1730.0,1435.0,-963.0
1463127115484659452,1690.0,1317.0,-1081.0
1463127115543814973,1690.0,1317.0,-1081.0
1463127115546249035,1887.0,1356.0,-963.0
1463127115548602108,1887.0,1356.0,-963.0
1463127115554804400,1848.0,1474.0,-1081.0
1463127115557330702,1848.0,1474.0,-1081.0
1463127115559806014,1572.0,1435.0,-1042.0
1463127115562275962,1572.0,1435.0,-1042.0
1463127115566061796,1651.0,1277.0,-1042.0
1463127115574834504,1651.0,1277.0,-1042.0
1463127115631435754,1808.0,1356.0,-1120.0
1463127115633663879,1808.0,1356.0,-1120.0
1463127115636207681,1690.0,1474.0,-924.0
1463127115644658879,1690.0,1474.0,-924.0
1463127115647271848,1494.0,1513.0,-1042.0
1463127115649767941,1494.0,1513.0,-1042.0
1463127115658151691,1533.0,1631.0,-924.0
1463127115659243775,1533.0,1631.0,-924.0
1463127115667187525,1572.0,1513.0,-1042.0
1463127115718581431,1572.0,1513.0,-1042.0
1463127115720984504,1808.0,1435.0,-1199.0
1463127115723391639,1808.0,1435.0,-1199.0
1463127115729717785,1494.0,1435.0,-1120.0
1463127115732309191,1494.0,1435.0,-1120.0
1463127115735565441,1572.0,1277.0,-1042.0
1463127115740692473,1572.0,1277.0,-1042.0
1463127115747066379,1848.0,1238.0,-1081.0
1463127115754726171,1848.0,1238.0,-1081.0
1463127115806285910,1533.0,1474.0,-1002.0
1463127115808580441,1533.0,1474.0,-1002.0
1463127115811074035,1612.0,1395.0,-1002.0
1463127115817275441,1612.0,1395.0,-1002.0
1463127115819819243,1730.0,1199.0,-1199.0
1463127115822367733,1730.0,1199.0,-1199.0
1463127115824776691,1454.0,1317.0,-924.0
1463127115834831118,1454.0,1317.0,-924.0
1463127115893757941,1769.0,1474.0,-1317.0
1463127115895872941,1769.0,1474.0,-1317.0
1463127115902307993,1651.0,1277.0,-1042.0
1463127115904753098,1651.0,1277.0,-1042.0
1463127115907272368,1572.0,1356.0,-1120.0
1463127115909756327,1572.0,1356.0,-1120.0
1463127115912347368,1730.0,1435.0,-1199.0
1463127115914862316,1730.0,1435.0,-1199.0
1463127115924872889,1612.0,1317.0,-1159.0
1463127115963716743,1612.0,1317.0,-1159.0
1463127115966111639,1690.0,1395.0,-1159.0
1463127115968519295,1690.0,1395.0,-1159.0
1463127115974779295,1533.0,1317.0,-1002.0
1463127115978240077,1533.0,1317.0,-1002.0
1463127115984886275,1533.0,1395.0,-1081.0
1463127115994937264,1533.0,1395.0,-1081.0
1463127116051438202,1533.0,1395.0,-1159.0
1463127116053576223,1533.0,1395.0,-1159.0
1463127116056126743,1572.0,1435.0,-884.0
1463127116063535233,1572.0,1435.0,-884.0
1463127116066043723,1690.0,1317.0,-1081.0
1463127116068509712,1690.0,1317.0,-1081.0
1463127116071031066,1572.0,1513.0,-1199.0
1463127116078504295,1572.0,1513.0,-1199.0
1463127116084871223,1651.0,1435.0,-963.0
1463127116139328045,1651.0,1435.0,-963.0
1463127116142117056,1454.0,1395.0,-1317.0
1463127116144590077,1454.0,1395.0,-1317.0
1463127116147137837,1376.0,1395.0,-1159.0
1463127116152120181,1376.0,1395.0,-1159.0
1463127116155509712,1730.0,1277.0,-1199.0
1463127116161800233,1730.0,1277.0,-1199.0
1463127116168333150,1651.0,1277.0,-1277.0
1463127116174681900,1651.0,1277.0,-1277.0
1463127116226289764,1454.0,1317.0,-1317.0
1463127116228562889,1454.0,1317.0,-1317.0
1463127116231036795,1769.0,1395.0,-1159.0
1463127116238047525,1769.0,1395.0,-1159.0
1463127116241022472,1769.0,1317.0,-1081.0
1463127116243590181,1769.0,1317.0,-1081.0
1463127116250618618,1376.0,1395.0,-1002.0
1463127116256095129,1376.0,1395.0,-1002.0
1463127116264837941,1730.0,1513.0,-1199.0
1463127116316262004,1730.0,1513.0,-1199.0
1463127116319788879,1415.0,1356.0,-1277.0
1463127116322260077,1415.0,1356.0,-1277.0
1463127116327225858,1690.0,1395.0,-1002.0
1463127116329736327,1690.0,1395.0,-1002.0
1463127116332258149,1454.0,1317.0,-1002.0
1463127116335538983,1454.0,1317.0,-1002.0
1463127116344746639,1651.0,1356.0,-1277.0
1463127116403689660,1651.0,1356.0,-1277.0
1463127116406097264,1572.0,1592.0,-1042.0
1463127116411031170,1572.0,1592.0,-1042.0
1463127116413540129,1690.0,1474.0,-1238.0
1463127116416023149,1690.0,1474.0,-1238.0
1463127116418566483,1730.0,1435.0,-1120.0
1463127116422179712,1730.0,1435.0,-1120.0
1463127116424724087,1651.0,1592.0,-1277.0
1463127116434843254,1651.0,1592.0,-1277.0
1463127116492476952,1651.0,1513.0,-884.0
1463127116494793306,1651.0,1513.0,-884.0
1463127116499682629,1612.0,1395.0,-1081.0
1463127116502231222,1612.0,1395.0,-1081.0
1463127116504789972,1651.0,1435.0,-1120.0
1463127116507284504,1651.0,1435.0,-1120.0
1463127116509805337,1690.0,1238.0,-1159.0
1463127116517334035,1690.0,1238.0,-1159.0
1463127116524848879,1730.0,1356.0,-1042.0
1463127116579950181,1730.0,1356.0,-1042.0
1463127116582426587,1769.0,1474.0,-1159.0
1463127116585278462,1769.0,1474.0,-1159.0
1463127116588577316,1651.0,1435.0,-1042.0
1463127116591077420,1651.0,1435.0,-1042.0
1463127116594713254,1690.0,1474.0,-1002.0
1463127116597311118,1690.0,1474.0,-1002.0
1463127116604819191,1533.0,1238.0,-1002.0
1463127116617922681,1533.0,1238.0,-1002.0
1463127116668624243,1769.0,1395.0,-1159.0
1463127116673517785,1769.0,1395.0,-1159.0
1463127116675996222,1848.0,1395.0,-1159.0
1463127116678507993,1848.0,1395.0,-1159.0
1463127116681191691,1651.0,1592.0,-1199.0
1463127116683578097,1651.0,1592.0,-1199.0
1463127116686313514,1494.0,1356.0,-1199.0
1463127116694901222,1494.0,1356.0,-1199.0
1463127116756149920,1572.0,1435.0,-1199.0
1463127116758573045,1572.0,1435.0,-1199.0
1463127116761065962,1730.0,1277.0,-1042.0
1463127116763545649,1730.0,1277.0,-1042.0
1463127116766108253,1887.0,1592.0,-806.0
1463127116768623410,1887.0,1592.0,-806.0
1463127116771902056,1572.0,1435.0,-1199.0
1463127116779856743,1572.0,1435.0,-1199.0
1463127116784823878,1808.0,1671.0,-1120.0
1463127116844972733,1808.0,1671.0,-1120.0
1463127116847396431,1651.0,1513.0,-1120.0
1463127116849832941,1651.0,1513.0,-1120.0
1463127116854523670,1690.0,1317.0,-1081.0
1463127116857247368,1690.0,1317.0,-1081.0
1463127116859745441,1769.0,1238.0,-1159.0
1463127116868308670,1769.0,1238.0,-1159.0
1463127116872193253,1690.0,1553.0,-1159.0
1463127116874744191,1690.0,1553.0,-1159.0
1463127116937428149,1730.0,1513.0,-1120.0
1463127116939849451,1730.0,1513.0,-1120.0
1463127116942397576,1612.0,1317.0,-1081.0
1463127116944647733,1612.0,1317.0,-1081.0
1463127116947205128,1690.0,1238.0,-1159.0
1463127116949624243,1690.0,1238.0,-1159.0
1463127116956935337,1612.0,1238.0,-1081.0
1463127116964640858,1612.0,1238.0,-1081.0
1463127116967329660,1769.0,1474.0,-1002.0
1463127116974895493,1769.0,1474.0,-1002.0
1463127117018730858,1612.0,1395.0,-1238.0
1463127117024795285,1612.0,1395.0,-1238.0
1463127117027429920,1494.0,1277.0,-1120.0
1463127117029889087,1494.0,1277.0,-1120.0
1463127117032378514,1533.0,1474.0,-1002.0
1463127117034858410,1533.0,1474.0,-1002.0
1463127117044965128,1690.0,1553.0,-1395.0
1463127117057351483,1690.0,1553.0,-1395.0
1463127117111958878,1572.0,1277.0,-1120.0
1463127117114777524,1572.0,1277.0,-1120.0
1463127117117319087,1690.0,1238.0,-1159.0
1463127117121200597,1690.0,1238.0,-1159.0
1463127117122723878,1769.0,1395.0,-1317.0
1463127117125656795,1769.0,1395.0,-1317.0
1463127117132577889,1651.0,1435.0,-1120.0
